timestamp,close,volume,ticker,log_return,cum_return,autocorrelation,stddev,annualized_volatility,sma,mean_return,price_stddev,return_stddev,price_zscore,covariance,beta,information_discreteness,sharpe,log_return_above_mar,downside_deviation,sortino
2024-08-02T08:00:00.000Z,3.2497,16131.05,ACE,,,,,,,,,,,,,,,,,
2024-08-02T09:00:00.000Z,3.2219,9108.94,ACE,-0.008591436738799833,,,,,,,,,,0.0,,,,-0.008604436738799834,,
2024-08-02T10:00:00.000Z,3.2156,9649.38,ACE,-0.0019572821782526725,,,0.0046910556772025575,0.43905875403132744,,,,0.0046910556772025575,,1.8143484617136485E-5,0.8244788621936799,,,-0.0019702821782526725,,
2024-08-02T11:00:00.000Z,3.2768,11196.17,ACE,0.018853370951328375,,1.0,0.014319641287180175,1.3402449884103997,,,,0.014319641287180175,,-1.0565546852344047E-5,-0.05152615107127686,,,0.018840370951328376,,
2024-08-02T12:00:00.000Z,3.3285,8115.65,ACE,0.015654415635624343,,0.5762625974661949,0.01334971701298899,1.2494650504530074,,,,0.01334971701298899,,1.1342839748535629E-5,0.0636469617706707,,,0.015641415635624344,,
2024-08-02T13:00:00.000Z,3.3091,8861.86,ACE,-0.0058455029653232396,,0.04755333606619749,0.012715185051146532,1.19007611292376,,,,0.012715185051146532,,1.1940190128960518E-5,0.07385261407562846,,,-0.0058585029653232396,,
2024-08-02T14:00:00.000Z,3.292,7100.09,ACE,-0.005180966278474611,,0.22323416045091907,0.01192720445064867,1.1163251697540209,,,,0.01192720445064867,,5.0387339363387835E-6,0.035419636432576236,,,-0.005193966278474611,,
2024-08-02T15:00:00.000Z,3.266,5879.36,ACE,-0.00792928826654995,,0.3203204379129838,0.011535913732467698,1.0797023652063222,,,,0.011535913732467698,,7.590742772343794E-6,0.05704009962984008,,,-0.007942288266549951,,
2024-08-02T16:00:00.000Z,3.2812,11764.1,ACE,0.004643214598184333,,0.273841178758994,0.010770114103459806,1.0080274472163562,,,,0.010770114103459806,,7.510847306232095E-6,0.06475127495259238,,,0.004630214598184333,,
2024-08-02T17:00:00.000Z,3.3464,7057.61,ACE,0.019675931999393857,,0.29915044886736397,0.01180681838171612,1.1050576510833034,,,,0.01180681838171612,,1.698323112070349E-5,0.1218300869972276,,,0.019662931999393857,,
2024-08-02T18:00:00.000Z,3.1955,42976.06,ACE,-0.04614157103765219,,-0.29986276534978346,0.01918187237978104,1.795324883476317,,,,0.01918187237978104,,1.657036234788426E-4,0.45034983802341805,,,-0.04615457103765219,,
2024-08-02T19:00:00.000Z,3.2339,26002.65,ACE,0.011945269109144578,,-0.34037775412772037,0.018655605802731498,1.7460690307413749,,,,0.018655605802731498,,1.5880283076491572E-4,0.45628850383001274,,,0.011932269109144578,,
2024-08-02T20:00:00.000Z,3.1647,18662.41,ACE,-0.021630574843608474,,-0.38694252177726424,0.018809613542805435,1.7604833654073762,,,,0.018809613542805435,,1.4571582652858265E-4,0.41185749960340123,,,-0.021643574843608474,,
2024-08-02T21:00:00.000Z,3.2169,15697.28,ACE,0.016359898538336946,,-0.43957129921798405,0.018730740241043438,1.753101228852005,,,,0.018730740241043438,,1.3211975620676595E-4,0.3765805466010596,,,0.016346898538336947,,
2024-08-02T22:00:00.000Z,3.1844,21961.59,ACE,-0.010154274679786498,,-0.458662000389861,0.018169462123449102,1.7005684754733505,,,,0.018169462123449102,,1.234917170088407E-4,0.3740706955217076,,,-0.010167274679786498,,
2024-08-02T23:00:00.000Z,3.1624,20927.69,ACE,-0.006932655231947487,,-0.44021589430193364,0.01756566866957202,1.6440565046519697,,,,0.01756566866957202,,1.1631624875242381E-4,0.37697366703573726,,,-0.006945655231947487,,
2024-08-03T00:00:00.000Z,3.1794,11225.91,ACE,0.005361266744295514,,-0.4445869597626008,0.017064629965171985,1.5971618514197714,,,,0.017064629965171985,,1.0993284089625137E-4,0.37751455508348536,,,0.005348266744295514,,
2024-08-03T01:00:00.000Z,3.1296,13112.6,ACE,-0.015787298886273143,,-0.45438529872750066,0.01688886463300004,1.5807111177138486,,,,0.01688886463300004,,1.0996928076897986E-4,0.3855409162201132,,,-0.015800298886273142,,
2024-08-03T02:00:00.000Z,3.0856,7094.37,ACE,-0.014159072946480174,,-0.40134025482947844,0.01662470159968379,1.5559868125147824,,,,0.01662470159968379,,1.087073151268825E-4,0.3933245477609567,,,-0.014172072946480175,,
2024-08-03T03:00:00.000Z,3.1669,9869.38,ACE,0.026007063522482696,,-0.43019379022180393,0.017462569549401473,1.6344069557319278,,,,0.017462569549401473,,1.0983884014348012E-4,0.36019662617093684,,,0.025994063522482697,,
2024-08-03T04:00:00.000Z,3.1777,18502.6,ACE,0.0034044732312178733,,-0.3755392338035926,0.017030150812416985,1.5939347795429153,,,,0.017030150812416985,,1.0362701227186059E-4,0.35730244585355675,,,0.0033914732312178733,,
2024-08-03T05:00:00.000Z,3.1809,31385.38,ACE,0.001006510952143693,,-0.37327537491346763,0.016605424455625017,1.5541825706907384,,,,0.016605424455625017,,9.925015607401196E-5,0.3599409312927071,,,9.93510952143693E-4,,
2024-08-03T06:00:00.000Z,3.2687,8052.38,ACE,0.027228176729267514,,-0.3404854898104562,0.01728808541121326,1.6180761352124768,,,,0.01728808541121326,,1.0028178134426969E-4,0.3355275926679224,,,0.027215176729267515,,
2024-08-03T07:00:00.000Z,3.2765,7964.0,ACE,0.0023834271504220247,,-0.31175267341760293,0.01689638008138175,1.58141452514056,,,,0.01689638008138175,,9.672806877050978E-5,0.3388169871153202,,,0.0023704271504220247,,
2024-08-03T08:00:00.000Z,3.2626,9017.73,ACE,-0.004251355977349258,,-0.31266870400244245,0.016551738899195874,1.5491578779270587,,,,0.016551738899195874,,9.340895037608206E-5,0.34095827755289254,,,-0.004264355977349258,,
2024-08-03T09:00:00.000Z,3.2909,10986.85,ACE,0.00863666007853491,,-0.316279852113757,0.01629158586299229,1.5248088878930868,,,,0.01629158586299229,,9.117151108893723E-5,0.3435044990452266,,,0.00862366007853491,,
2024-08-03T10:00:00.000Z,3.3354,7863.88,ACE,0.01343152860674162,,-0.29490792590248893,0.016162516308406354,1.512728639497128,,,,0.016162516308406354,,8.95446004961954E-5,0.3427847171960509,,,0.01341852860674162,,
2024-08-03T11:00:00.000Z,3.3239,15605.57,ACE,-0.0034538199005400183,,-0.3000108100723783,0.015871824378213866,1.4855213655997979,,,,0.015871824378213866,,8.638594555158464E-5,0.3429172975684013,,,-0.0034668199005400183,,
2024-08-03T12:00:00.000Z,2.9053,26281.9,ACE,-0.13460213710917746,,-0.1084380332989623,0.02996182086273764,2.804272778179476,,,,0.02996182086273764,,7.91626943674114E-5,0.08818285616684965,,,-0.13461513710917747,,
2024-08-03T13:00:00.000Z,2.9186,23779.34,ACE,0.00456739405588421,,-0.10149968748657912,0.02946491480952813,2.757764919905047,,,,0.02946491480952813,,7.746744675016759E-5,0.08922958286572695,,,0.00455439405588421,,
2024-08-03T14:00:00.000Z,2.9119,26529.0,ACE,-0.0022982601660633427,,-0.10092881568073245,0.02895358233123219,2.7099068222262224,,,,0.02895358233123219,,7.50276646848164E-5,0.08949871881118264,,,-0.0023112601660633426,,
2024-08-03T15:00:00.000Z,2.8803,19868.92,ACE,-0.01091133369589422,,-0.10122945360441625,0.028496721322568006,2.667146974756407,,,,0.028496721322568006,,7.197515268956791E-5,0.08863246017835423,,,-0.01092433369589422,,
2024-08-03T16:00:00.000Z,3.1263,33829.18,ACE,0.08195574129480379,,-0.11069708186818525,0.031877542004789865,2.983574452595438,,,,0.031877542004789865,,7.603232676782952E-5,0.07482188198480595,,,0.08194274129480379,,
2024-08-03T17:00:00.000Z,3.0545,16241.06,ACE,-0.023234283576669876,,-0.154995922811616,0.0316088833657824,2.9584293817586937,,,,0.0316088833657824,,7.310450970565494E-5,0.0731687879274517,,,-0.023247283576669876,,
2024-08-03T18:00:00.000Z,3.1521,26176.81,ACE,0.03145298427301761,,-0.17313126763777026,0.03164677887715021,2.9619762072814404,,,,0.03164677887715021,,7.184361188971976E-5,0.07173467465876626,,,0.03143998427301761,,
2024-08-03T19:00:00.000Z,3.0695,31976.89,ACE,-0.02655421549528812,,-0.1937479079467098,0.03147809918376714,2.9461886530285524,,,,0.03147809918376714,,8.149741605330007E-5,0.08224828298182604,,,-0.026567215495288118,,
2024-08-03T20:00:00.000Z,2.9754,29908.81,ACE,-0.031136198144407913,,-0.16777814767255683,0.031412481592349654,2.940047182981563,,,,0.031412481592349654,,7.759114878216027E-5,0.0786335146691507,,,-0.031149198144407912,,
2024-08-03T21:00:00.000Z,2.886,23298.57,ACE,-0.030507023389327002,,-0.14067379337322414,0.03131470409531909,2.930895710696301,,,,0.03131470409531909,,7.90423769059408E-5,0.08060525701406464,,,-0.030520023389327,,
2024-08-03T22:00:00.000Z,2.8409,24160.96,ACE,-0.01575055697275926,,-0.12903386303082917,0.030955575812296764,2.897283145139368,,,,0.030955575812296764,,7.814308027703776E-5,0.08154789456610721,,,-0.01576355697275926,,
2024-08-03T23:00:00.000Z,2.8384,25260.27,ACE,-8.803902457966107E-4,,-0.12961218209017467,0.03054851422895616,2.859184268491175,,,,0.03054851422895616,,7.624483807958243E-5,0.08170154351375544,,,-8.933902457966107E-4,,
2024-08-04T00:00:00.000Z,2.7662,13142.14,ACE,-0.02576597592465278,,-0.13033958754710137,0.03035969702184131,2.8415119462251224,,,,0.03035969702184131,,7.174052981465718E-5,0.07783406511830797,,,-0.02577897592465278,,
2024-08-04T01:00:00.000Z,2.746,17738.18,ACE,-0.0073292298626912175,,-0.12736939031367853,0.02998223405950353,2.806183348710835,,,,0.02998223405950353,,6.954873654929683E-5,0.07736798114078086,,,-0.0073422298626912175,,
2024-08-04T02:00:00.000Z,2.6567,13945.48,ACE,-0.03306055623903612,,-0.12333952100570458,0.029949421257916654,2.803112238757691,,,,0.029949421257916654,,6.693459687887984E-5,0.07462318531976429,,,-0.03307355623903612,,
2024-08-04T03:00:00.000Z,2.7246,22051.56,ACE,0.025236877243080096,,-0.14327981644670623,0.029943097991575282,2.8025204134560338,,,,0.029943097991575282,,6.732700412218771E-5,0.07509237266057063,,,0.025223877243080096,,
2024-08-04T04:00:00.000Z,2.6208,30350.76,ACE,-0.03884201367321024,,-0.16587314567928044,0.030052826179140967,2.812790409088112,,,,0.030052826179140967,,6.407661041421914E-5,0.07094615951066319,,,-0.03885501367321024,,
2024-08-04T05:00:00.000Z,2.6387,45476.17,ACE,0.006806756958554158,,-0.17631593544758392,0.029760462391794557,2.785426657935036,,,,0.029760462391794557,,6.296784026187886E-5,0.07109506382561512,,,0.006793756958554158,,
2024-08-04T06:00:00.000Z,2.6379,29228.87,ACE,-3.032255642381539E-4,,-0.1898361327824507,0.029434841598886458,2.7549502216148047,,,,0.029434841598886458,,6.194489351632345E-5,0.0714960592206857,,,-3.1622556423815387E-4,,
2024-08-04T07:00:00.000Z,2.6407,12042.9,ACE,0.0010608874559967622,,-0.18968491010582858,0.02912457723024132,2.7259110678525356,,,,0.02912457723024132,,6.049630401987541E-5,0.07131971232537157,,,0.0010478874559967622,,
2024-08-04T08:00:00.000Z,2.7417,32402.13,ACE,0.037534132437202675,,-0.17815175665298996,0.02944239904200028,2.7556575595330783,,,,0.02944239904200028,,5.798157636056543E-5,0.06688729445477874,,,0.037521132437202676,,
2024-08-04T09:00:00.000Z,2.7202,36620.54,ACE,-0.007872758947612536,,-0.17785974661470788,0.02914066344080144,2.7274166546653156,,,,0.02914066344080144,,5.636614738325334E-5,0.06637728455301284,,,-0.007885758947612537,,
2024-08-04T10:00:00.000Z,2.7116,10746.78,ACE,-0.003166540441842619,,-0.17733798975833562,0.028841851330385488,2.69944937354216,,,,0.028841851330385488,,5.5251050119305614E-5,0.06641929614609572,,,-0.003179540441842619,,
2024-08-04T11:00:00.000Z,2.7267,13407.83,ACE,0.005553220236023983,,-0.1839032931629268,0.02858085848873482,2.675021782025153,,,,0.02858085848873482,,5.304140692788645E-5,0.06493285461199265,,,0.005540220236023983,,
2024-08-04T12:00:00.000Z,2.6983,9294.25,ACE,-0.010470141730020267,,-0.16431530962319338,0.02831605163057859,2.6502372181228213,,,,0.02831605163057859,,5.138243826402121E-5,0.06408395665993387,,,-0.010483141730020268,,
2024-08-04T13:00:00.000Z,2.6993,5935.81,ACE,3.705350568554043E-4,,-0.15131582786945355,0.0280476988527757,2.625120774326263,,,,0.0280476988527757,,5.0676790192617876E-5,0.06441909627061362,,,3.575350568554043E-4,,
2024-08-04T14:00:00.000Z,2.6782,9743.09,ACE,-0.007847553058203803,,-0.14526548163838784,0.02778813282107053,2.600826724902981,,,,0.02778813282107053,,4.948223980133444E-5,0.06408119730021072,,,-0.007860553058203804,,
2024-08-04T15:00:00.000Z,2.6908,4455.96,ACE,0.004693620089984849,,-0.13767993714634028,0.02755223821946477,2.5787481999417285,,,,0.02755223821946477,,4.8957445380716E-5,0.06449187129166138,,,0.004680620089984849,,
2024-08-04T16:00:00.000Z,2.7387,17047.58,ACE,0.017644808087694076,,-0.1289117302486593,0.027445505345360752,2.56875855028866,,,,0.027445505345360752,,4.954813987112532E-5,0.06577864021939786,,,0.017631808087694077,,
2024-08-04T17:00:00.000Z,2.7466,4060.7,ACE,0.0028804278570366496,,-0.12500807712524212,0.027210711555375373,2.5467830556497324,,,,0.027210711555375373,,4.837783363579046E-5,0.06533811777562216,,,0.0028674278570366496,,
2024-08-04T18:00:00.000Z,2.6208,5620.01,ACE,-0.04688416843743121,,-0.1284351275939599,0.027580992589888734,2.581439461551062,,,,0.027580992589888734,,6.231068085185462E-5,0.08191109157278333,,,-0.04689716843743121,,
2024-08-04T19:00:00.000Z,2.534,3570.57,ACE,-0.033680532777666035,,-0.09018128220809996,0.02761922203785113,2.58501754182652,,,,0.02761922203785113,,6.477655583339409E-5,0.08491706397798765,,,-0.033693532777666034,,
2024-08-04T20:00:00.000Z,2.4066,8873.45,ACE,-0.05158411887702205,,-0.056695923697082845,0.028058641617821487,2.6261449610162675,,,,0.028058641617821487,,6.815523626175231E-5,0.08656970619312904,,,-0.05159711887702205,,
2024-08-04T21:00:00.000Z,2.4481,27203.11,ACE,0.017097250467032053,,-0.07464748375359782,0.027967388897019066,2.617604174324652,,,,0.027967388897019066,,6.298222504607368E-5,0.08052192641201429,,,0.017084250467032054,,
2024-08-04T22:00:00.000Z,2.4686,14702.91,ACE,0.008338974838733956,,-0.0742645905866895,0.02778616102804626,2.600642175187945,,,,0.02778616102804626,,6.547186596169308E-5,0.08480034558118708,,,0.008325974838733955,,
2024-08-04T23:00:00.000Z,2.4829,14055.86,ACE,0.005776043525061208,,-0.07158292617841157,0.027591170532777213,2.5823920648094147,,,,0.027591170532777213,,6.597010139662603E-5,0.08665764862523782,,,0.005763043525061208,,
2024-08-05T00:00:00.000Z,2.4382,14318.64,ACE,-0.018167169703843463,,-0.08148851560630957,0.02742637070563723,2.566967646139584,,,,0.02742637070563723,,6.506696475920135E-5,0.08650154503860932,,,-0.018180169703843462,,
2024-08-05T01:00:00.000Z,2.3987,18265.42,ACE,-0.01633313821606161,,-0.08784048658004127,0.027250885599875756,2.550543140188583,,,,0.027250885599875756,,6.596055741946617E-5,0.08882251704584536,,,-0.01634613821606161,,
